epoch,test_time,train_time,loss,accuracy
67,274.189632266,273.78286597299996,0.0007,83
68,278.23627909799995,277.82729600199997,0.0006,84
69,282.306387776,281.89909194399996,0.0007,84
70,286.35977810699995,285.946653551,0.0006,84
71,290.399556168,289.99373777899996,0.0006,85
72,294.44979380399997,294.04047061399996,0.0006,85
73,298.49685837199996,298.086464554,0.0006,85
74,302.54212139199996,302.135242371,0.0006,85
75,306.592436023,306.183160457,0.0006,85
76,310.635944726,310.22869728999996,0.0006,85
77,314.680236567,314.27186999599996,0.0006,85
78,318.72641048099996,318.32158978999996,0.0006,85
79,322.798793139,322.388627404,0.0006,86
80,326.852105392,326.44609733699997,0.0006,85
81,330.90336564399996,330.49387837,0.0006,85
82,334.952545971,334.543795801,0.0006,85
83,339.00651144,338.59752484899997,0.0006,86
84,343.057321199,342.652444156,0.0006,86
85,347.110249502,346.701412312,0.0006,85
86,351.15646531199997,350.750435084,0.0006,87
87,355.207403781,354.79885519699997,0.0007,85
88,359.255511309,358.84989506299996,0.0006,86
89,363.33472740099995,362.925898922,0.0006,85
90,367.385066483,366.977822981,0.0006,86
91,371.428475956,371.01905155699995,0.0006,85
92,375.464910928,375.059075549,0.0006,86
93,379.499949705,379.092353951,0.0006,85
94,383.53353439299997,383.122816247,0.0006,87
95,387.567641998,387.16232978799997,0.0005,87
96,391.61926381999996,391.21149217,0.0005,86
97,395.65616977599996,395.24474618,0.0005,87
98,399.69167497899997,399.28500241399996,0.0006,87
99,403.758913745,403.34944003199996,0.0005,86
100,407.794290651,407.385439485,0.0005,86
101,411.84762989,411.43717241599995,0.0006,87
102,415.898730298,415.489879306,0.0005,87
103,419.951090788,419.540558156,0.0006,87
104,424.006771707,423.597945624,0.0006,86
105,428.062096135,427.65101112499997,0.0005,87
106,432.11348968299995,431.70463989399997,0.0006,86
107,436.170709682,435.756272029,0.0006,87
108,440.229085613,439.820477148,0.0006,87
109,444.31144006399995,443.87262453399995,0.0005,87
110,448.36730855599995,447.954182043,0.0006,86
111,452.422573405,452.01284739299996,0.0005,87
112,456.482775275,456.07103895999995,0.0005,88
113,460.5337808,460.122114362,0.0005,86
114,464.58646969899996,464.175761813,0.0005,86
115,468.642920136,468.22899322899997,0.0006,87
116,472.699767894,472.28690479299996,0.0005,87
117,476.75233464499996,476.343847585,0.0006,87
118,480.809803667,480.39764922,0.0005,87
119,484.92688640299997,484.50681799899996,0.0006,87
120,489.033619313,488.618609762,0.0005,88
121,493.09862061999996,492.68533543899997,0.0005,88
122,497.160186637,496.75218521899995,0.0005,88
123,501.22135471400003,500.809917392,0.0005,88
124,505.275765822,504.86683115499994,0.0005,88
125,509.34097671399996,508.927925508,0.0006,88
126,513.4082873780001,512.993646536,0.0006,87
127,517.488203345,517.0724063600001,0.0005,88
128,521.5656742550001,521.148949534,0.0006,87
129,525.647982867,525.2300217950001,0.0006,88
130,529.750644271,529.3366168360001,0.0006,86
131,533.8369967230001,533.42294412,0.0005,88
132,537.907036201,537.4944317200001,0.0006,87
133,541.9791842210001,541.5671530120001,0.0005,88
134,546.0496967690001,545.6362805030001,0.0005,88
135,550.122140748,549.710034641,0.0005,88
136,554.193327136,553.7809158260001,0.0005,88
137,558.2671288930001,557.852555532,0.0006,87
138,562.3463200340001,561.932686225,0.0006,87
139,566.423903428,566.010570972,0.0005,87
140,570.5266494140001,570.11459054,0.0005,88
